"","x","y","land_perc","temp","phyto","velo","diversity","active","upper","lower","right","left","upper_left","upper_right","lower_left","lower_right"
"249",-85000,6689204.14285714,0,284.751923315267,1.61507682187539,10.3092658398883,0.52,1,1,1,1,1,1,1,1,1
"250",5000,6689204.14285714,0,285.028810439989,1.58423697165577,6.65045913006639,0.48,1,1,1,1,1,1,1,1,1
"251",95000,6689204.14285714,0,285.199591239047,1.59646615448896,3.72069979823579,0.42,1,1,1,1,1,1,1,1,1
"252",185000,6689204.14285714,0,285.247559790322,1.6285207631944,2.98720023417395,0.46,1,1,1,1,1,1,1,1,1
"253",275000,6689204.14285714,0,285.367159059413,1.64174623668481,3.84011379271188,0.52,1,1,1,1,1,1,1,1,1
"254",365000,6689204.14285714,0,285.478134434691,1.64996386113832,4.09140284577539,0.58,1,1,1,1,1,1,1,1,1
"255",455000,6689204.14285714,0,285.366992814206,1.66664027012594,8.61434580932005,0.6,1,1,1,1,1,1,1,1,1
"256",545000,6689204.14285714,0,285.326627340348,1.76279446430925,7.50863207635547,0.6,1,1,1,1,1,1,1,1,1
"257",635000,6689204.14285714,0.115774984032898,285.104552203599,2.50361634373233,6.00768052152947,0.56,1,1,1,1,1,1,1,1,0
"258",725000,6689204.14285714,0.0170415225512352,284.844954091046,2.9494178645568,3.38680619829747,0.34,1,1,0,0,1,1,1,1,0
"259",815000,6689204.14285714,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
"260",905000,6689204.14285714,0.352631693258012,284.302064493649,2.77963108971391,2.43547446404503,0.16,1,1,1,1,0,1,0,0,1
"261",995000,6689204.14285714,0.0140846364083916,284.419268570354,2.49121673455886,2.85461646350748,0.24,1,0,1,1,1,1,0,1,0
"262",1085000,6689204.14285714,0.5348265811565,284.511024625833,4.25877717254333,1.63120534812544,0.2,1,0,0,0,1,0,1,1,0
"263",1175000,6689204.14285714,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
"264",1265000,6689204.14285714,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
"265",1355000,6689204.14285714,0.283588189926706,283.893335572387,3.01071266793523,1.71074660644554,0.38,1,1,0,1,0,1,1,0,1
"266",1445000,6689204.14285714,0.0933885523974959,284.443213170785,1.77180935476225,1.92086910479388,0.28,1,1,1,1,1,1,1,0,1
"267",1535000,6689204.14285714,0,285.047839651676,3.14112450911192,2.73542730087469,0.36,1,1,1,1,1,1,1,1,1
"268",1625000,6689204.14285714,0.615146894741931,285.08612312505,5.85635410822046,4.38323111111706,0.26,1,1,1,0,1,1,1,1,0
"269",1715000,6689204.14285714,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
"270",1805000,6689204.14285714,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
"271",-2155000,6541786.71428571,0,277.620152775815,2.97558365461213,11.9631588113787,0.18,1,1,1,1,0,0,1,0,1
"272",-2065000,6541786.71428571,0,277.994634713004,2.86772874480782,12.8821165092561,0.28,1,1,1,1,1,1,1,1,1
"273",-1975000,6541786.71428571,0,279.420388667819,2.64348414803016,11.8886823102917,0.38,1,1,1,1,1,1,1,1,1
"274",-1885000,6541786.71428571,0,280.71602058151,2.14383625004834,3.69581412722799,0.48,1,1,1,1,1,1,1,1,1
"275",-1795000,6541786.71428571,0,281.889240812338,1.90356676122965,4.928824334689,0.54,1,1,1,1,1,1,1,1,1
"276",-1705000,6541786.71428571,0,283.084381219648,1.8534233874983,16.4615281575238,0.58,1,1,1,1,1,1,1,1,1
"277",-1615000,6541786.71428571,0,283.877544097759,1.84194313976858,17.544891526646,0.6,1,1,1,1,1,1,1,1,1
